"age","CI5p","median","CI95p","mean","SE","RSE","year","n","v"
13,166093.6608238,265022.7295872,396929.448553665,268506.917424829,70190.2966125372,0.261409639966492,2011,NA,4926677738.55595
14,1924.66264087001,25279.11320955,70014.8220207,28847.6377700398,19718.5903551465,0.683542635703281,2011,NA,388822805.594078
15,0,17892.36083945,40260.20502877,18768.3944081862,13233.717442486,0.705106529342428,2011,NA,175131277.347558
16,0,6460.72212675,21869.62787973,7414.911086039,7888.77965709049,1.06390751899152,2011,NA,62232844.4781248
17,0,3557.7791754,14027.708074885,4634.636728851,4970.91211995789,1.07255701164528,2011,NA,24709967.3043443
18,0,1997.03763615,10675.830951615,3047.6357273694,4163.64572064938,1.36618877487805,2011,NA,17335945.6870819
NA,5190.648936805,77134.43047175,322798.086207465,101334.488768106,109824.081388823,1.08377791928417,2011,NA,12061328852.8987
2,90604.679424395,357100.19673835,879135.200004105,409287.732463703,256302.969230254,0.626217081287633,2012,NA,65691212036.2444
3,1814014.62512363,2902820.90597995,4314944.15535043,2948994.5514273,763905.500653837,0.259039305543684,2012,NA,583551613929.189
4,212869.140840815,368886.78044325,626515.984444575,390130.135533837,127311.163082282,0.326329989627885,2012,NA,16208132245.3635
5,424896.32236438,681382.9216575,1032392.20320098,692593.212966686,186275.561102433,0.268953777794807,2012,NA,34698584664.0264
6,1199251.75372611,1726650.6597332,2466433.61008792,1763754.14925271,385723.004613369,0.218694314497742,2012,NA,148782236287.965
7,1757917.50768548,2639538.1100209,3695299.95189365,2659699.60675248,598707.294232837,0.2251033510374,2012,NA,358450424167.605
8,2942086.10198382,4366123.11689395,6032916.80732822,4438384.58356277,935398.951138326,0.210752117922026,2012,NA,874971197790.679
9,1408661.98818293,1901735.80548735,2552158.10148049,1933451.76710316,347623.394569348,0.179794190102908,2012,NA,120842024451.917
10,1442183.16539332,2127115.90974105,3173828.47441176,2197088.52791003,542270.759983482,0.246813340971433,2012,NA,294057577133.063
11,191174.406163175,291193.1346341,447057.02286872,302727.173336243,83976.4833284135,0.277399885854117,2012,NA,7052049752.20731
12,309659.275722585,604237.51668285,988884.535321045,618587.941246388,211139.169386134,0.341324418579372,2012,NA,44579748849.0667
13,140913.30661631,302367.7461917,505469.67542944,313982.123603544,110162.90051695,0.35085723751601,2012,NA,12135864650.3074
14,70160.308117915,135641.5501125,225655.42905871,140716.576141294,49871.2250509204,0.354409028548594,2012,NA,2487139088.07955
15,2069.42938418,13012.8602609,35051.72738545,15253.3537883566,10938.7778559417,0.717139194941618,2012,NA,119656860.981641
16,5163.96646376,24736.45854755,55049.17730249,27290.123847225,15978.8553253652,0.585517875067835,2012,NA,255323817.508953
NA,0,1000.16626245,43980.35049183,10137.7209473196,17417.1135315292,1.7180502030029,2012,NA,303355843.770177
2,24277.155253755,139477.593869,479687.004298254,179469.39921775,156263.266906239,0.870695882347303,2013,NA,24418208584.2106
3,337827.58582686,692838.1924143,1161559.24003418,704390.642191264,257010.970130697,0.364869938264896,2013,NA,66054638767.522
4,2456371.21162153,3524306.64735125,4786430.01114118,3576553.43109521,723509.774408942,0.202292455110167,2013,NA,523466393665.278
5,277798.834652275,423721.50731815,616323.616089495,431297.517865021,103978.611487128,0.241083259652956,2013,NA,10811551646.7911
6,812843.14900289,1161450.75142485,1575869.64142118,1167901.5174031,244533.845433833,0.20937882329117,2013,NA,59796801562.6577
7,1431417.43514345,1865731.8994088,2390422.86265652,1890094.37841802,295132.79952725,0.156147123073437,2013,NA,87103369356.7917
8,2081377.84730872,2956384.75889005,3912612.66834251,2971075.78560752,571210.50163324,0.192257129353717,2013,NA,326281437176.098
9,3428393.77750906,4479329.1890585,5629375.88490351,4492151.81726678,685186.492206974,0.152529682895684,2013,NA,469480529102.897
10,2018438.58338355,2767488.8865598,3653938.54541695,2777453.65694279,499742.203503621,0.179928187912125,2013,NA,249742269962.655
11,1193335.58089646,1856142.90753295,2727726.40111205,1874532.52968063,479791.121668737,0.255952411639654,2013,NA,230199520432.145
12,389624.21394007,663261.10713735,970730.72668232,669110.337596963,185915.869612855,0.277855323952327,2013,NA,34564710573.9042
13,479554.18711583,778406.0148007,1100655.97104911,783401.399046058,197848.615611395,0.252550756039387,2013,NA,39144074699.3456
14,101875.652536635,211980.6220051,385564.480515775,222257.809055948,86864.6934573582,0.390828532983029,2013,NA,7545474969.44081
15,22226.028915345,72669.91759105,136426.60676075,75350.3751851972,33907.1844268705,0.449993571279944,2013,NA,1149697155.75781
16,5592.33808671,26196.9593506,58028.440572215,27839.2367874292,17252.2791090048,0.619710922419936,2013,NA,297641134.455002
NA,0,7315.54762735,76662.8528424699,20882.5439115768,36715.6914852077,1.75820013311948,2013,NA,1348042001.23696
0,1427.171728365,6923.67247375,14771.92239583,7260.6788696122,4246.8087089221,0.584905183824626,2014,NA,18035384.2101766
1,917.464655360003,13055.85560245,34146.482888955,14288.2693891726,11011.1922114398,0.770645619250708,2014,NA,121246353.917274
