"age","CI5p","median","CI95p","mean","SE","RSE","year","n","v","i"
14,46421.014936505,80598.884515,130076.312545825,82428.627529233,26094.2388120416,0.316567673079203,2017,94,680909299.179859,NA
15,504976.67219413,657221.6033576,845351.0554278,659082.360498979,105262.485922612,0.159710670822565,2017,94,11080190942.608,NA
16,11.6468198,9564.6133642,28644.469313495,11365.5974287466,9260.3855441836,0.814773319417565,2017,94,85754740.4269247,NA
17,10140.106755875,34117.3911306,75937.07992893,37351.5833103472,19367.1763870464,0.51851018539504,2017,94,375087521.206968,NA
18,0,10282.847032,30025.704900125,11006.0381712808,11178.3577943499,1.01565682586117,2017,94,124955682.978503,NA
19,0,3396.83325225,11545.18262584,4248.3619676336,3930.43023493408,0.925163690118285,2017,94,15448281.831684,NA
20,0,5138.4272163,16142.95279862,5763.8367456008,5657.99282745327,0.981636551689581,2017,94,32012882.8355126,NA
2,3548.801,15004.1006,35164.889,16363.1279,10447.226,0.63846142765895,2016,NA,109144531.095076,NA
3,56691.3,172370.2806,471135.226,212563.899,143199.8394,0.673679021102262,2016,NA,20506194004.1858,0.218
4,61188.16,209325.8787,523933.917,243798.3958,156006.9309,0.639901384043479,2016,NA,24338162488.8374,0.253
5,256377.8,567301.1089,1000132.589,590626.8777,230681.2478,0.390570183155754,2016,NA,53213838086.565,0.539
6,112120.7,341917.1889,722879.083,379602.5931,192164.8768,0.506226459705393,2016,NA,36927339875.5592,0.404
7,615536.9,2131947.0491,3926367.785,2234457.5334,976706.457,0.437111219345405,2016,NA,953955503145.493,2.288
8,69942.31,236606.5585,517414.599,260989.6606,133574.2641,0.511799064349601,2016,NA,17842084029.8565,0.242
9,203753.2,501828.1021,938143.649,520402.8477,219212.6731,0.421236497972376,2016,NA,48054196047.6475,0.569
10,827258.4,2953285.9372,5264752.617,3036367.3599,1349362.7208,0.444400351097319,2016,NA,1820779752284.78,2.792
11,271289.9,649161.7035,1134799.203,671217.0121,262665.9006,0.391327835655136,2016,NA,68993375338.0091,0.681
12,1457288,3996567.9221,7040927.201,4135694.6159,1634776.9335,0.395284730940958,2016,NA,2672495622303.66,NA
13,89025.05,196362.366,375911.717,211725.9171,93839.0362,0.443209964492344,2016,NA,8805764714.94491,NA
14,326283.6,834742.1706,1490652.773,866555.0845,347051.4231,0.400495512988938,2016,NA,120444690275.735,NA
15,1522.558,18230.6543,39919.06,18163.4709,13731.1363,0.755975351605293,2016,NA,188544104.089178,NA
16,15720,64207.8915,157293.718,73154.5468,47556.1172,0.65007739477924,2016,NA,2261584283.14014,NA
17,1047.37,8910.114,21991.848,9671.3926,7288.4243,0.753606497165672,2016,NA,53121128.7768305,NA
18,0,358.6581,1552.821,488.6817,583.3458,1.19371320841357,2016,NA,340292.32237764,NA
2,24889.464591205,192449.63341765,466911.030918469,208064.98938553,150057.382417361,0.721204383594375,2015,67,22517218017.9502,NA
3,126735.1981768,332641.3994741,651790.18032979,351505.699963826,167316.961396794,0.476000706145059,2015,67,27994965571.0564,0.516
4,1158298.12202151,2230816.6264765,4298537.26501287,2430255.22441166,1002965.05800591,0.412699476141941,2015,67,1005938907580.79,2.748
5,373611.336754575,592188.49140185,905971.89592476,613405.726437168,167694.868657702,0.273383278685253,2015,67,28121568974.124,0.768
6,1822426.66930347,2511001.43794825,3597622.88605619,2586269.35160196,527378.322967449,0.203914693819801,2015,67,278127895535.959,3.223
7,199267.7849136,318751.06038655,477458.40170116,326603.329917462,87839.4881347195,0.268948538145395,2015,67,7715775675.76953,0.377
8,409813.69042884,704165.11376145,1064167.89199515,714152.452296704,202180.323910798,0.28310527151533,2015,67,40876883376.675,0.65
9,2130414.61089473,2867557.2674365,3789750.61870247,2886573.17074555,491287.128706907,0.170197358475419,2015,67,241363042833.077,2.868
10,539576.815586145,791684.1480062,1128766.27866713,810350.560696944,179361.628791839,0.221338316391832,2015,67,32170593882.8615,0.72
11,6114204.07775747,7542258.27189305,9252464.21945844,7564117.84831205,921844.715799614,0.121870750071051,2015,67,849797680047.671,7.251
12,218231.1850911,354699.8150705,560526.633570815,366197.967853291,102841.386786081,0.280835492859102,2015,67,10576350836.0842,NA
13,1487598.85630232,1979948.91119,2517066.39086088,1979518.37784111,318642.87290425,0.160969898774957,2015,67,101533280452.674,NA
14,0,44131.74856305,104902.399759945,47840.9458422526,32449.1748149294,0.678272016651281,2015,67,1052948946.16985,NA
15,144239.01143301,305133.2547529,472631.798702445,311075.203784649,97460.9983872123,0.313303655198061,2015,67,9498646206.63219,NA
16,0,13220.8451505,29699.8271921449,12264.2214650202,10519.9634716976,0.857776704514224,2015,67,110669631.445853,NA
2,0,20163.8201175,53717.95556648,20948.1125065302,18415.701892899,0.879110320185565,2008,24,339138076.208124,NA
3,0,0,35928.541864,8239.6072550234,13201.8175084692,1.60223868685252,2008,24,174287985.526923,0.07
4,498476.354786495,1663826.92320685,3753009.91199371,1842733.33667725,1071513.43649747,0.581480464465673,2008,24,1148141044594.61,2.449
5,1281263.73126463,2239698.91259905,3522317.62256577,2300682.77377063,691346.646166223,0.300496293556005,2008,24,477960185165.285,2.699
